Modello,Materiale,Colore,Prezzo
Sandalo,tessuto,argento,129.0
Sandalo,tessuto,rosa,129.0
Sandalo,tessuto,platino,129.0
Sandalo,tessuto,nero,129.0
Sandalo,tessuto,blu,129.0
Sandalo,tessuto,fucile,129.0
Sandalo,tessuto,argento,129.0
Sandalo,pelle,bianco,129.0
Sandalo,pelle,nero,129.0
Sandalo,pelle,platino,129.0
Sandalo,pelle,argento,139.9
Sandalo,pelle,nude,139.9
Sandalo,pelle,bianco,139.9
Sandalo,pelle,nero,119.0
Sandalo,tessuto,argento,119.0
Sandalo,tessuto,nude,119.0
Ciabatta,tessuto,argento,119.0
Ciabatta,tessuto,nero,119.0
Ciabatta,tessuto,oro,139.9
Sandalo,pelle,nude,149.9
Sneakers,tessuto,nero,115.0
Sandalo,pelle,bianco,149.9
Sandalo,pelle,jeans,149.9
Sneakers,camoscio,beige,115.0
Sandalo,pelle,platino,115.0
Sandalo,pelle,beige,139.9
Décolleté,pelle,abyss,139.9
Décolleté,pelle,nude,149.9
Décolleté,camoscio,legno,89.9
Sandalo,camoscio,sahara,139.9
Mocassino,camoscio,ecru,89.9
Sandalo,pelle,cipria,89.9
Sandalo,pelle,bianco,89.9
Sandalo,pelle,nero,79.9
Ciabatta,pelle,tabacco,139.9
Sandalo,tessuto,cipria,149.9
Sandalo,camoscio,nero,115.0
